date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:20	327/327	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202019%2008:17:19%20GMT	http://stacksthemes.com/robots.txt		(from )
10:17:22	55233/55233	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Sep%202018%2008:19:31%20GMT	http://stacksthemes.com/alpha/	C:/My%20Web%20Sites/alpha/stacksthemes.com/alpha/index.html	(from )
10:17:25	115111/115111	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2008:20:09%20GMT	http://stacksthemes.com/alpha/assets/plugins/materialize/css/materialize.min.css	C:/My%20Web%20Sites/alpha/stacksthemes.com/alpha/assets/plugins/materialize/css/materialize.min.css	(from http://stacksthemes.com/alpha/)
10:17:29	26680/26680	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2008:20:07%20GMT	http://stacksthemes.com/alpha/assets/plugins/weather-icons-master/css/weather-icons.min.css	C:/My%20Web%20Sites/alpha/stacksthemes.com/alpha/assets/plugins/weather-icons-master/css/weather-icons.min.css	(from http://stacksthemes.com/alpha/)
10:17:30	88723/88723	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2008:19:56%20GMT	http://stacksthemes.com/alpha/assets/plugins/metrojs/MetroJs.min.css	C:/My%20Web%20Sites/alpha/stacksthemes.com/alpha/assets/plugins/metrojs/MetroJs.min.css	(from http://stacksthemes.com/alpha/)
10:17:31	55260/55260	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2008:19:33%20GMT	http://stacksthemes.com/alpha/assets/css/alpha.min.css	C:/My%20Web%20Sites/alpha/stacksthemes.com/alpha/assets/css/alpha.min.css	(from http://stacksthemes.com/alpha/)
10:17:32	32/32	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2008:19:33%20GMT	http://stacksthemes.com/alpha/assets/css/custom.css	C:/My%20Web%20Sites/alpha/stacksthemes.com/alpha/assets/css/custom.css	(from http://stacksthemes.com/alpha/)
10:17:34	4281/4281	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Sep%202018%2008:19:41%20GMT	http://stacksthemes.com/alpha/assets/images/profile-image-3.jpg	C:/My%20Web%20Sites/alpha/stacksthemes.com/alpha/assets/images/profile-image-3.jpg	(from http://stacksthemes.com/alpha/)
10:17:34	34290/34290	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Sep%202018%2008:19:42%20GMT	http://stacksthemes.com/alpha/assets/images/profile-image-1.png	C:/My%20Web%20Sites/alpha/stacksthemes.com/alpha/assets/images/profile-image-1.png	(from http://stacksthemes.com/alpha/)
10:17:38	37003/37003	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Sep%202018%2008:19:34%20GMT	http://stacksthemes.com/alpha/assets/images/profile-image.png	C:/My%20Web%20Sites/alpha/stacksthemes.com/alpha/assets/images/profile-image.png	(from http://stacksthemes.com/alpha/)
10:17:39	55233/55233	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Sep%202018%2008:19:31%20GMT	http://stacksthemes.com/alpha/index.html	C:/My%20Web%20Sites/alpha/stacksthemes.com/alpha/index-2.html	(from http://stacksthemes.com/alpha/)
10:17:40	58919/58919	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Sep%202018%2008:19:33%20GMT	http://stacksthemes.com/alpha/mailbox.html	C:/My%20Web%20Sites/alpha/stacksthemes.com/alpha/mailbox.html	(from http://stacksthemes.com/alpha/)
10:17:42	72608/72608	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Sep%202018%2008:19:33%20GMT	http://stacksthemes.com/alpha/search.html	C:/My%20Web%20Sites/alpha/stacksthemes.com/alpha/search.html	(from http://stacksthemes.com/alpha/)
10:17:43	46471/46471	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Sep%202018%2008:19:33%20GMT	http://stacksthemes.com/alpha/todo.html	C:/My%20Web%20Sites/alpha/stacksthemes.com/alpha/todo.html	(from http://stacksthemes.com/alpha/)
